region,places reporting cases,cases,deaths,confirmed cases in the last 15 days
Africa,Algeria,1300,130,1206
Africa,Angola,10,2,10
Africa,Benin,16,0,14
Africa,Botswana,4,1,4
Africa,Burkina_Faso,302,16,262
Africa,Burundi,3,0,3
Africa,Cameroon,555,9,528
Africa,Cape_Verde,7,1,5
Africa,Central_African_Republic,9,0,8
Africa,Chad,8,0,7
Africa,Congo,45,5,42
Africa,Cote_dIvoire,245,2,231
Africa,Democratic_Republic_of_the_Congo,154,18,140
Africa,Djibouti,51,0,50
Africa,Egypt,985,66,729
Africa,Equatorial_Guinea,16,0,12
Africa,Eritrea,29,0,29
Africa,Eswatini,9,0,8
Africa,Ethiopia,38,0,29
Africa,Gabon,21,1,18
Africa,Gambia,4,1,3
Africa,Ghana,214,5,198
Africa,Guinea,111,0,109
Africa,Guinea_Bissau,18,0,18
Africa,Kenya,126,4,119
Africa,Liberia,10,1,8
Africa,Libya,18,1,18
Africa,Madagascar,71,0,68
Africa,Malawi,4,0,4
Africa,Mali,41,3,41
Africa,Mauritania,6,1,4
Africa,Morocco,919,59,833
Africa,Mozambique,10,0,10
Africa,Namibia,14,0,11
Africa,Niger,120,5,119
Africa,Nigeria,210,4,198
Africa,Rwanda,102,0,85
Africa,Senegal,219,2,172
Africa,Seychelles,10,0,3
Africa,Sierra_Leone,4,0,4
Africa,Somalia,7,0,6
Africa,South_Africa,1585,9,1380
Africa,Sudan,10,2,8
Africa,Togo,41,3,32
Africa,Tunisia,495,18,441
Africa,Uganda,48,0,48
Africa,United_Republic_of_Tanzania,21,1,18
Africa,Zambia,39,1,37
Africa,Zimbabwe,9,1,8
America,Anguilla,3,0,3
America,Antigua_and_Barbuda,15,0,14
America,Argentina,1451,43,1293
America,Aruba,64,0,60
America,Bahamas,28,4,24
America,Barbados,51,0,45
America,Belize,4,0,4
America,Bermuda,37,0,35
America,Bolivia,157,10,138
America,"Bonaire, Saint Eustatius and Saba",2,0,2
America,Brazil,10278,432,9374
America,British_Virgin_Islands,3,0,3
America,Canada,13882,231,12911
America,Cayman_Islands,35,1,32
America,Chile,4161,27,3727
America,Colombia,1406,32,1248
America,Costa_Rica,435,2,322
America,Cuba,288,6,267
America,Curaçao,11,1,8
America,Dominica,14,0,14
America,Dominican_Republic,1578,77,1544
America,Ecuador,3465,172,3039
America,El_Salvador,62,3,59
America,Falkland_Islands_(Malvinas),1,0,1
America,Greenland,10,0,8
America,Grenada,12,0,12
America,Guatemala,61,2,48
America,Guyana,24,4,19
America,Haiti,21,0,19
America,Honduras,268,22,244
America,Jamaica,55,3,36
America,Mexico,1890,79,1687
America,Montserrat,6,0,5
America,Nicaragua,5,1,4
America,Panama,1801,46,1601
America,Paraguay,104,3,86
America,Peru,1746,73,1483
America,Puerto_Rico,452,18,452
America,Saint_Barthelemy,6,0,6
America,Saint_Kitts_and_Nevis,10,0,10
America,Saint_Lucia,14,0,12
America,Saint_Vincent_and_the_Grenadines,7,0,6
America,Sint_Maarten,23,2,22
America,Suriname,10,1,9
America,Trinidad_and_Tobago,103,6,94
America,Turks_and_Caicos_islands,5,0,5
America,United_States_Virgin_Islands,40,0,40
America,United_States_of_America,312237,8501,292613
America,Uruguay,400,5,290
America,Venezuela,144,5,108
Asia,Afghanistan,270,5,246
Asia,Bahrain,688,4,403
Asia,Bangladesh,70,8,53
Asia,Bhutan,5,0,3
Asia,Brunei_Darussalam,135,1,57
Asia,Cambodia,114,0,67
Asia,China,82575,3333,1294
Asia,India,3374,77,3143
Asia,Indonesia,2092,191,1783
Asia,Iran,55743,3452,36099
Asia,Iraq,878,56,685
Asia,Israel,8018,46,7306
Asia,Japan,3271,70,2264
Asia,Jordan,323,5,254
Asia,Kazakhstan,460,3,407
Asia,Kuwait,479,1,320
Asia,Kyrgyzstan,144,1,138
Asia,Laos,10,0,10
Asia,Lebanon,520,17,357
Asia,Malaysia,3483,57,2453
Asia,Maldives,19,0,6
Asia,Mauritius,196,7,184
Asia,Mongolia,14,0,8
Asia,Myanmar,21,1,21
Asia,Nepal,6,0,5
Asia,Oman,277,2,229
Asia,Pakistan,2450,35,1955
Asia,Palestine,155,1,107
Asia,Philippines,3094,144,2864
Asia,Qatar,1325,3,855
Asia,Saudi_Arabia,2179,29,1905
Asia,Singapore,1189,6,804
Asia,South_Korea,10237,183,1438
Asia,Sri_Lanka,159,5,93
Asia,Syria,16,2,16
Asia,Taiwan,363,5,228
Asia,Thailand,2169,23,1803
Asia,Timor_Leste,1,0,1
Asia,Turkey,23934,501,23264
Asia,United_Arab_Emirates,1505,10,1365
Asia,Uzbekistan,266,2,233
Asia,Vietnam,240,0,153
Europe,Albania,333,19,263
Europe,Andorra,466,17,391
Europe,Armenia,770,7,634
Europe,Austria,11766,186,9117
Europe,Azerbaijan,521,5,477
Europe,Belarus,394,5,337
Europe,Belgium,18431,1283,16174
Europe,Bosnia_and_Herzegovina,632,21,588
Europe,Bulgaria,503,17,376
Europe,Croatia,1126,12,1000
Europe,Cyprus,426,11,359
Europe,Czech_Republic,4472,59,3568
Europe,Denmark,4077,161,2822
Europe,Estonia,1018,13,735
Europe,Faroe_Islands,181,0,101
Europe,Finland,1882,25,1432
Europe,France,68605,7560,55993
Europe,Georgia,157,0,114
Europe,Germany,91714,1342,73527
Europe,Gibraltar,98,1,88
Europe,Greece,1673,68,1178
Europe,Guernsey,136,2,135
Europe,Holy_See,7,0,6
Europe,Hungary,733,34,630
Europe,Iceland,1417,4,1008
Europe,Ireland,4604,137,3921
Europe,Isle_of_Man,126,1,125
Europe,Italy,124632,15362,77611
Europe,Jersey,123,3,111
Europe,Kosovo,126,1,102
Europe,Latvia,509,1,398
Europe,Liechtenstein,77,1,43
Europe,Lithuania,771,9,702
Europe,Luxembourg,2729,31,2245
Europe,Malta,213,0,149
